State,2010,2016
Alabama,4779736,4863300
Alaska,710231,741894
Arizona,6392017,6931071
Arkansas,2915918,2988248
California,37253956,39250017
Colorado,5029196,5540545
Connecticut,3574097,3576452
Delaware,897934,952065
District of Columbia,601723,681170
Florida,18801310,20612439
Georgia,9687653,10310371
Hawaii,1360301,1428557
Idaho,1567582,1683140
Illinois,12830632,12801539
Indiana,6483802,6633053
Iowa,3046355,3134693
Kansas,2853118,2907289
Kentucky,4339367,4436974
Louisiana,4533372,4681666
Maine,1328361,1331479
Maryland,5773552,6016447
Massachusetts,6547629,6811779
Michigan,9883640,9928300
Minnesota,5303925,5519952
Mississippi,2967297,2988726
Missouri,5988927,6093000
Montana,989415,1042520
Nebraska,1826341,1907116
Nevada,2700551,2940058
New Hampshire,1316470,1334795
New Jersey,8791894,8944469
New Mexico,2059179,2081015
New York,19378102,19745289
North Carolina,9535483,10146788
North Dakota,672591,757952
Ohio,11536504,11614373
Oklahoma,3751351,3923561
Oregon,3831074,4093465
Pennsylvania,12702379,12784227
Rhode Island,1052567,1056426
South Carolina,4625364,4961119
South Dakota,814180,865454
Tennessee,6346105,6651194
Texas,25145561,27862596
Utah,2763885,3051217
Vermont,625741,624594
Virginia,8001024,8411808
Washington,6724540,7288000
West Virginia,1852994,1831102
Wisconsin,5686986,5778708
Wyoming,563626,585501
Puerto Rico,3725789,3411307
